45,2769,14702,42230,6737,11376,12601,8951,33581,10899,9056,1124,796,2938,9229,3013,80936,1401,8699,3369,75,552,599,10604,101,79728,3099,66,1738,1917,2496,4488,7095,2720,5503,3526,27435,16966,14189,2541,3584,2474,51435,50717,4838,12394,812,5840,12422,3318,7987,336,22414,11519,9255,11094,46268,1927,1014,13702,11540,1107,6408,1359,956,2063,6086,9714,1334,1940,5039,46086,6784,7928,3126,10912,838,6264,1701,2998,20706,3360,12166,2388,6815,12859,5118,5421,7316,4643,10456,6369,3093,171
47,2619,18404,36434,6900,12853,12034,9877,32647,11006,7523,1341,1021,3912,9275,3756,84336,1676,8084,5050,77,483,793,10215,329,80304,2626,67,2227,2222,2894,4219,7080,3828,5562,4079,25511,19459,14493,3761,3846,2418,50070,52887,4067,14534,963,4691,15308,4300,7995,315,25553,9577,10063,10311,51434,2390,1777,13976,10996,2463,8711,3531,1498,1488,5457,9321,2184,3328,5219,45786,7096,7760,3428,10973,975,6895,2113,3343,21082,3067,12284,1926,8750,13188,4779,6307,6468,4446,10606,6129,2593,231
50,2843,17349,48305,5909,12203,11939,11168,50110,9375,6866,1330,1010,4031,12105,3745,107347,1591,8100,2728,70,603,446,14215,294,104666,2043,66,2308,2457,2234,3839,4759,3436,8033,4424,28623,20827,13245,2724,4304,2313,59447,55387,4332,16746,876,4896,16554,4074,7317,386,26792,11561,9728,10487,58434,2404,880,15031,10538,2617,10030,3900,1244,2109,5362,9095,858,3455,5191,60110,7654,9008,3739,11878,848,9513,1659,3607,18323,2996,13385,1250,5691,12161,5198,6008,8880,4805,12925,6733,3842,200
51,2992,17279,18082,7549,14554,13147,11169,14833,12967,9363,1310,1078,3732,12431,3790,87284,1878,8397,3321,111,549,684,12389,276,85372,3702,73,1977,2033,3412,4509,5779,3691,6556,3700,25843,21022,14413,3620,4829,3265,51299,52456,4063,15392,879,5348,15863,5695,8678,403,24446,12467,12055,11231,50003,2721,1648,16234,12360,1833,9107,2836,940,1959,4766,10298,1603,3867,5565,44812,7323,8341,4461,12527,946,8219,2314,3116,22775,3366,11123,1959,9259,13635,4188,7869,8531,4560,13028,6535,3445,291
53,2815,15109,38692,6873,13371,13674,9890,39585,13128,8846,1305,1031,3705,10565,3991,86670,1790,5923,3093,90,442,617,13036,134,81608,2895,88,2347,2726,2588,4126,7941,4924,6754,3777,25413,17802,13007,4989,5670,2891,46438,49891,3859,11584,876,4668,14291,5785,9923,338,24818,9614,11339,11883,48478,2009,1108,14934,11923,2150,9749,2975,1163,2418,6752,9997,1293,3083,5839,40819,6440,7232,5293,11482,924,7476,1793,3158,20360,3444,12014,1691,8484,11271,5112,6169,6686,7189,10731,6123,3173,232
54,2470,13965,41180,4685,11368,8701,7971,29278,12856,7652,1081,881,3143,7756,2938,77968,1241,5172,2002,72,352,491,10119,204,74173,3126,63,1941,2089,2101,3278,5262,3291,4517,3974,24602,14806,11773,3366,3817,2607,44124,45463,3202,10039,635,3537,12920,3694,7784,246,23625,8753,9408,8942,45570,1888,704,10255,8678,861,5905,1627,846,1469,4376,6885,780,2215,4367,37681,5026,6647,3493,11091,566,5563,1460,3196,14241,2399,8626,905,5154,10069,4653,4137,5855,3351,8500,5883,2942,217
55,3410,22159,43121,8650,14958,14500,10243,33734,11335,10768,1202,1106,4038,14057,4114,94754,2375,8733,4814,88,536,590,12576,245,89704,3457,74,2114,2255,3380,4304,5595,3988,7269,4472,25907,22413,14407,4102,3765,2950,51835,55525,4042,17884,837,6285,16133,3712,10347,461,23336,12222,11259,10811,52407,2807,1675,13702,13252,1854,9491,2864,1542,1808,4451,10963,2249,3829,5009,46997,8649,8470,3525,13115,1118,8897,2607,3495,25829,3815,11979,2478,8945,15999,6099,7169,9063,4487,11976,6602,3004,181
57,2603,16667,64913,7210,12935,10601,11029,61127,10629,8173,1443,1087,4642,9245,4437,113992,1429,6232,2388,76,675,591,10221,302,106217,2330,68,2839,2787,2265,3515,7482,2736,4503,4760,38043,19094,12943,3821,4444,2476,56544,61199,2802,10560,832,4423,11558,4859,6325,403,38529,10213,9603,12991,55816,2026,1049,12996,9329,1002,6176,1733,975,1506,6702,9011,1495,2644,4905,48417,7285,7007,4519,9890,455,5612,1696,3903,16638,3194,9233,903,5132,9517,3769,6286,5954,4390,10643,6659,4249,174
58,2301,17291,14509,8781,12821,10438,8464,14312,10313,8552,1159,1081,3820,10873,3618,76893,1995,8189,3172,98,549,580,10361,370,76351,2912,74,2177,2206,3195,3341,6258,4058,5801,3756,24813,19787,12956,3790,3618,2495,46589,48457,3387,14587,1072,6480,15673,4293,7400,384,21821,10983,10547,10708,46985,1861,1881,12215,10971,2072,7969,3332,1604,1760,4868,8565,2239,4027,5463,41845,6389,7933,3692,10288,1190,6051,2134,2918,22576,2540,11814,2245,7168,13405,4650,7672,6549,4806,11403,6447,2553,249
60,2817,15575,19359,7642,14666,12170,8591,12636,10490,7876,1430,1105,3449,10275,3669,80663,1718,8287,4440,93,526,704,9739,371,77143,2343,80,2060,2000,3699,3738,6161,3457,6688,3974,25354,20095,14004,3150,3258,2187,48952,50505,3821,14756,1047,5649,16210,2868,7560,407,21784,10051,9672,10013,48047,2360,1583,11939,11239,1831,9949,3291,1182,1309,3787,9365,1796,3919,5164,40463,7801,7634,2825,10766,980,7600,2294,3175,23987,3141,10025,1985,8092,12955,4547,7909,7411,3923,11027,5918,2857,248
66,1785,13339,12244,5573,11348,10114,8237,10635,9351,7185,913,824,2986,8610,2781,66759,1397,6872,3218,80,395,510,9571,374,65349,1919,72,1477,1492,2443,2579,4933,2445,3532,2676,20353,16146,10882,2499,3471,2007,37818,38347,2181,11223,885,4295,11805,3053,6784,312,18754,8916,8962,7995,38573,1603,1019,11024,9523,1753,6484,3006,983,1559,2956,8861,1439,3193,4680,35088,6100,6259,2819,9739,883,5942,1863,2350,16385,2337,9781,1483,5709,9432,4020,4080,6056,3741,9593,5225,2492,198
